"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Coding\food-book\apps\backend\src\controller\dish.controller.ts", "TypeScript", 104, 0, 24, 128
"c:\Coding\food-book\apps\backend\src\controller\ingredient.controller.ts", "TypeScript", 28, 0, 6, 34
"c:\Coding\food-book\apps\backend\src\controller\post.controller.spec.ts", "TypeScript", 22, 0, 5, 27
"c:\Coding\food-book\apps\backend\src\controller\post.controller.ts", "TypeScript", 78, 3, 19, 100
"c:\Coding\food-book\apps\backend\src\controller\profile.controller.ts", "TypeScript", 30, 0, 8, 38
"c:\Coding\food-book\apps\backend\src\controller\step.controller.ts", "TypeScript", 28, 0, 5, 33
"c:\Coding\food-book\apps\backend\src\controller\user.controller.ts", "TypeScript", 59, 0, 15, 74
"c:\Coding\food-book\apps\backend\src\entity\Dish.entity.ts", "TypeScript", 97, 0, 20, 117
"c:\Coding\food-book\apps\backend\src\entity\Ingredient.entity.ts", "TypeScript", 51, 0, 10, 61
"c:\Coding\food-book\apps\backend\src\entity\Rating.entity.ts", "TypeScript", 18, 0, 6, 24
"c:\Coding\food-book\apps\backend\src\entity\Step.entity.ts", "TypeScript", 21, 0, 7, 28
"c:\Coding\food-book\apps\backend\src\entity\User.entity.ts", "TypeScript", 53, 0, 14, 67
"c:\Coding\food-book\apps\backend\src\entity\UserTokens.entity.ts", "TypeScript", 17, 0, 6, 23
"c:\Coding\food-book\apps\backend\src\environments\environment.prod.ts", "TypeScript", 3, 0, 1, 4
"c:\Coding\food-book\apps\backend\src\environments\environment.ts", "TypeScript", 3, 0, 1, 4
"c:\Coding\food-book\apps\backend\src\helper\crypto.helper.ts", "TypeScript", 6, 0, 1, 7
"c:\Coding\food-book\apps\backend\src\helper\dish.helper.ts", "TypeScript", 50, 0, 4, 54
"c:\Coding\food-book\apps\backend\src\helper\jwt.helper.ts", "TypeScript", 86, 2, 22, 110
"c:\Coding\food-book\apps\backend\src\helper\posts.helper.ts", "TypeScript", 27, 0, 3, 30
"c:\Coding\food-book\apps\backend\src\helper\storage.helper.ts", "TypeScript", 67, 0, 12, 79
"c:\Coding\food-book\apps\backend\src\helper\user.helper.ts", "TypeScript", 37, 0, 5, 42
"c:\Coding\food-book\apps\backend\src\main.ts", "TypeScript", 32, 5, 4, 41
"c:\Coding\food-book\apps\backend\src\middleware\dish.middleware.ts", "TypeScript", 69, 0, 13, 82
"c:\Coding\food-book\apps\backend\src\middleware\test\jwtmiddleware.ts", "TypeScript", 21, 0, 3, 24
"c:\Coding\food-book\apps\backend\src\routes\auth.router.ts", "TypeScript", 11, 0, 6, 17
"c:\Coding\food-book\apps\backend\src\routes\dish.router.ts", "TypeScript", 21, 0, 8, 29
"c:\Coding\food-book\apps\backend\src\routes\post.router.ts", "TypeScript", 7, 0, 3, 10
"c:\Coding\food-book\apps\backend\src\routes\profile.router.ts", "TypeScript", 16, 1, 6, 23
"c:\Coding\food-book\apps\backend\src\routes\root.controller.ts", "TypeScript", 25, 4, 9, 38
"Total", "-", 1087, 15, 246, 1348
